Character,Line
Kenny,"(Ehe, that makes you very fucking gay.)
"
Cartman,"But I'm not g-I'm not gay, you guys!
"
Stan,"You are now.
"
Cartman,"No, no, it was a stupid mistake!
"
Kyle,"Doesn't matter. You're gay now.
"
Cartman,"No, it was just for a second!  What, what can I do? How how can I reverse this?
"
Stan,"You can't!
"
Kyle,"Nono wait. I I know how you can reverse it, Cartman.
"
Cartman,"How?
"
Kyle,"The only way you can cancel it out is to get Butters to put your wiener in his mouth.
"
Cartman,"Really?
"
Kyle,"Yeah. Then it cancels out the gay polarity.
"
Cartman,"...Shit, I gotta find Butters! 
"
Kyle,"...Idiot.
"
Butters,"Help me, I thinking I'm falling in love with you... 
"
Cartman,"Butters.
"
Butters,"Whoa, hey Eric.
"
Cartman,"Butters, guess what? I have a surprise for you.
"
Butters,"A surprise? What is it?
"
Cartman,"It's so fuckin' awesome. You're gonna be soo stoked. It's the best surprise ever!
"
Butters,"Oh boy!
"
Cartman,"You ready?
"
Butters,"Y-yeah!
"
Cartman,"Okay! Just open your mouth and close your eyes and, and get on your knees!
"
Butters,"Oh, okay! 
"
Cartman,"Hang on a second here. 
"
Butters,"How come uh, I can't see?
"
Cartman,"'Cause then it wouldn't be a surprise, would it? 
"
Butters,"Oh uh, ho yeah.
"
Cartman,"All right, that's good.  Okay, open your mouth, Butters?  That's good, just like that.
"
Butters,"Hey. Hey wait a minute. This ain't a trick, is it? Why you're not gonna, eh stick something icky in my mouth, are ya?
"
Cartman,"...I swear on my mother's life, Butters. I am not going to stick anything icky in your mouth. 
"
Butters,"Well okay!
"
Cartman,"All right, you ready?  All right just- okay, open uh- okay, okay, here it comes. Just sit very still, okay? Here we go. 
"
Stephen,"Butters!
"
Cartman,"Uh! 
"
Butters,"Whoa! Hey Dad! 
"
Stephen,"Butters! What are you doing?!
"
Butters,"I'm getting a surprise! 
"
Stephen,"Oh my God! My, my only son, reduced to this! 
"
Butters,"Hey. Where'd Eric go?
"
Stephen,"Butters, how long have you been doing stuff like this?
"
Butters,"Like what?
"
Stephen,"Don't lie to me, Butters! I know your secret now! No wait, wait. It's okay. It's okay, Butters. This isn't a serious problem. You're just bi-curious.
"
Butters,"What's... bi-curious?
"
Stephen,"You are. Just harmless curiosity, and it doesn't mean anything. We just need to get you some help, Butters. 
"
Linda,"What's going on, you two?
"
Butters,"Nothin' Mom, I'm just a little bi-curious. 
"
Stephen,"Father Maxi, I... just don't know where else to turn. You see, I've just learned that my son is... bi-curious.
"
Father Maxi,"Is that true, son? Are you feeling... confused?
"
Butters,"...Yeah, I'm pretty confused alright.
"
Stephen,"You see?
"
Father Maxi,"Young man, These confused feelings that you're having are simply the Devil's way of trying to get a hold of you.
"
Butters,"Really?
"
Stephen,"What can I do, Father?
"
Father Maxi,"There is a special camp where young men who are confused, like your son, can go and be cleansed by the power of God. Many bi-curious boys come out the camp completely cured.
"
Stephen,"A secluded camp where lots of bi-curious boys are all put together? That sounds like a good idea.
"
Butters,"Whoa boy! Camp!
"
Cartman,"Haahaahahaha!  Very funny! I suppose you really think you got me!
"
Kyle,"What are you talking about, fatass?
"
Cartman,"I checked on the Internet, Kyyyle, and getting Butters to put my wiener in his mouth wouldn't make me not gay like you said!
"
Kyle,"You figured that out, huh?
"
Cartman,"That's right. And I also learned from the Internet that just because I put Butters' wiener in my mouth doesn't mean I'm gay! All I have to do is throw away the picture, forget it ever happened, and nobody will ever know. 
"
Kyle,"Except for us.
"
Cartman,"Right, except for you.
"
Kyle,"And all the people we tell.
"
Cartman,"Why would you tell anybody?
"
Stan,"Because it's really, really funny.
"
Cartman,"...It's not that funny. There's lots, there's lots of things that are way funnier.
"
Kyle,"Like what?
"
Cartman,"Liiike... a tampon... in the school cafeteria... in, in somebody's lunch.  Liiike, a, a dog crap... on, on a guy's face! 
"
Stan,"That isn't funny.
"
Cartman,"Yes it is! Now you guys, I'm getting pissed off! You'd better not tell anybody!
"
Kyle,"Well, maybe we will, maybe we won't.
"
Cartman,"Fine! Whatever! You guys don't have any proof I put Butters' wiener in my mouth! It will be your word against mine! And we all know that everyone trusts me way more than you guys!  You guys, please don't tell anybody.
"
Kyle,"Okay. We won't tell anybody as long as you are super nice to us, every day, from now on.
"
Cartman,"Oh right, like that's possible! Alright, fine! You know what I'm gonna do, Kyle?! I'm gonna go home, and photo shop the picture so that it is your face with Butters' wiener in his mouth here! And if ANY of you say anything to anybody, I'll simply show them the picture of Kyle.  Haha, hahahaha! 
"
Leader,"Everyone, say hello to our new camper, Butters.
"
Campers,"Hi Butters. Hello. Hi. Hello Butters.
"
Stephen,"Thank you so much for taking him in.
"
Director,"Don't worry. Your son just needs to learn that he can be straight if he chooses to be.
"
Director,"Do you know why you're here at camp, Butters?
"
Butters,"Because I'm bi-curious?
"
Director,"That's right. Like all the campers here, you're confused, and you don't think there's a way out. But even though some people would have you believe you can't control how you feel, the truth is that with the power of Jesus Christ you can be normal. Now, just to make sure you don't slip up while in camp we assign every camper an accountabilibuddy.  Let's meet Ryan, your accountabilibuddy.  Ryan thought he could never change. But now he's learning that with the power of Christ and prayer, he can have a whole new life.  Over this way we have the cafeteria. All the meals are served there.  Uh Bradley! How about you be Butters' accountabilibuddy?
"
Bradley,"Humble yourselves therefore under God's might hand, that he may lift you up. - Peter 5:6
"
Director,"Butters here is new to the camp. He's chosen to rid himself of his affliction and forge a personal relationship with Jesus Christ.
"
Butters,"I'm bi-curious.
"
Bradley,"Do not lie with a man as one lies with a woman: that is detestable. - Leviticus 18:22.
"
Director,"That's right, Bradley. I think we're well on our way to being healed.  We've got another one: Room 22.
"
Staffer,"Aw, darnit!
"
Stan,"Aw man, I've got H O R S now. 
"
Kyle,"Okay, my turn. 
"
Cartman,"Where is it, you filthy Jew?!
"
Kyle,"Where's what?
"
Cartman,"You know God damned well what!
"
Kyle,"Let go of me.
"
Stan,"What the hell are you doing, Cartman?!
"
Cartman,"I went home to alter the picture of me with Butters' penis in my mouth to look like Kyle, but it was gone!  What did you do with my picture?!
"
Kyle,"Knock it off! I don't have your stupid picture!
"
Cartman,"Give it back, Kyle!
"
Kyle,"I don't have it!
"
Cartman,"I swear to God, Kyle, if you don't give it back right now,  I'm gonna break your fuckin' Jew legs right here!
"
Kyle,"Shut up!
"
Cartman,"You shut up! You're lying, and  you two are covering up for him! You know what? You're just like Jews yourselves! Stan, you're a Jew, and Kenny, you're a Jew! You're all Jews!  OW!  OW! AAAAUH!  NYAAAAAAAAAA!
"
Campers,"The Lord is love this forWith Jesus I can just say noAnd not be confused anymore.
"
Director,"We will now hear a sermon from Pastor Phillips. For those of you who are new to camp, Pastor Phillips is somebody who has broken free of the bonds that afflict you.
"
Butters,"He's bi-curious too?
"
Director,"Not anymore. Because Pastor Phillips prayed, and by the hand of Jesus Christ, he's now completely cured! Let's hear it for Pastor Phillips, kids!
"
Pastor Phillips,"Helloooo campers!  Yeth, believe it or not, I mythelf used to have unclean urges, and like a lot of you, I thought I was just made that way, that I didn't have a choice. But then I realized that God didn't want me to be that way! God wanted me to be a man!  So I buckled up in my little suit and I prayed to be normal and guess what?  It worrrrked! 
"
Director,"That's right, kids. You see, right now you're like a paper clip.  And just like a paper clip,  God needs to bend you, and shape you, and make youuuu... straight. 
"
Det. Yates,"So you say you were robbed. 
"
Cartman,"Yes. A photograph. And I know who took it! His name is Kyle Broflovski!
"
Det. Yates,"If it's a photo, what's the big deal? Why don't you just print out another one?
"
Cartman,"It's a big deal, okay?! That picture is my propertih, and I want it back!
"
Det. Yates,"Okay, what is the picture of?
"
Cartman,"Why... why does that matter?
"
Det. Yates,"Well how are we gonna find your picture unless we know what it is?
"
Cartman,"All right. It's a picture ...of me.
"
Det. Yates,"Yes?
"
Cartman,"It's a picture ...of me.  And um... what appears to be... a penis... in my mouth.
"
Det. Yates,"You were sucking somebody's penis. 
"
Cartman,"No, no I was not! I was asleep, and this person just... puts a penis in my mouth without me knowing! And and took the picture!
"
Det. Yates,"...I see.
"
Cartman,"Yes. Now it may appear in the picture... that I'm actually looking at the camera lens and s-and smiling, with the penis in my mouth. And giving a thumbs up. But I assure you, I was fast asleep!
"
Det. Yates,"Well we'd have to get a warrant first, approved by a grand jury.
"
Cartman,"I don't have time for that! We have school tomorrow! And I know that Kyle is gonna show the picture to everybody during Show and Tell!
"
Det. Yates,"Well then, you're screwed.
"
Director,"You both do understand that we're trying to save your souls from eternal life in hell?
"
Butters,"Well sure, I guess.
"
Bradley,"Only through Christ can we cleanse our souls.
"
Director,"And you do know the rule which states that no impure or immoral images are allowed to be seen by the eye?
"
Butters,"Well yeah, sure.
"
Bradley,"So let's purify ourselves from everything that makes the body or soul unclean. - Corinthians, chapter 7.
"
Director,"Then do you mind telling us why we found this  1979 Sears men's underwear catalog... in your room?
"
Bradley,"That's... that's mine.
"
Director,"You know this is strictly forbidden!
"
Butters,"Ah I don't understand. What's wrong with underwear?
"
Director,"What's wrong?!  This is what makes you confused! Don't you get it?! This is confusing you right now, isn't it?!
"
Butters,"Yes, it's all very confusing!
"
Director,"This is just as much your fault, Butters! Bradley is your accountabilibuddy! That makes you accountabilibuddyable. Both of your boys' behavior has jeopardizing all of the work we're doing here to save these kids!  Right. For having contraband in your room, you will both do penance by writing scripture for the next four days!
"
Cartman,"That son of a bitch. He's gonna show everyone that picture. Only twelve hours from now.  That's it. I don't have a choice. I'm gonna have to bring Mom in on this one! I'm just... going to have to tell her the truth.  Ow. OW. OW!
"
Liane,"Eric? What's the, what's the matter? 
"
Cartman,"I, don't, want to go to school tomorrow.
"
Liane,"Sweetie, shhh, tell Mommy what happened.
"
Cartman,"Kyle, has a picture of me, and he's gonna show everyone during Show and Tell, and, everyone's gonna laugh at meeee.
"
Liane,"Oh, now why would he do that?
"
Cartman,"Because, he's jealous of how much smarter I am than him. So, he's gonna show everyone the picturrrre.
"
Liane,"What is the picture of, Eric? 
"
Cartman,"Last time, when Butters spent the night, I was being really nice to him and I was... gonna take a picture of him for his mom to have.
"
Liane,"Ohh, that's nice.
"
Cartman,"But then, right when I took the picture, Butters got really hot, so he pulled his pajama bottoms down, and then I tripped, and, fell down, and my mouth landed right on his penis, and, then I thought of something funny, so I smiled up at, the camera and gave like a, thumbs up, and, and then Kyle took the picture from me, and he's gonna show it to everybody, and make them think I'm gaaaaaaay. 
"
Liane,"Oh, there there, sweetie. It'll be okay. These things happen.
"
Cartman,"But, Mom, I've been trying to get the picture back, but he won't give it to meee. 
"
Liane,"It's okay, Eric. I'll have a talk with Kyle's mother.
"
Cartman,"You, you will?
"
Butters,"...but that He loved us and sent His Only Son to be the satisfaction of our sins. Neato!
"
Bradley,"Butters, I'm sorry for getting you into trouble.
"
Butters,"Awww, that's okay, Bradley.
"
Bradley,"I really want to get better. I try to do everything the counselors say, but some...how I still feel confused.
"
Butters,"Yeah, well hopefully, when we finish writin' all these verses, we won't be bi-curious no more, and then we can go home!
"
Bradley,"You're really terrific, Butters. I mean, I think you're great.  Oh oh! Oh God! Bad thought! Bad thought!
"
Butters,"Wuh-what's the matter?
"
Bradley,"I think, I, I th-, I think I like you.
"
Butters,"Well I like you too, Bradley.
"
Bradley,"You do?
"
Butters,"Well yeah!
"
Bradley,"You like like me?
"
Butters,"Sure, I like like you a lot a lot. 
"
Bradley,"Oh God, we're both un-fixable! Don't you see we're lost causes?! We're just evil and nothing can change us! There's no other way out, Butters! We have to kill ourselves! 
"
Butters,"No! Bradley! You can't leave; you're my accountabilibuddy!
"
Sheila,"Hello?
"
Liane,"Hello, Sheila? It's Liane, Eric's mother.
"
Sheila,"Ohh, hello, Mrs. Cartman.
"
Liane,"Um, Sheila, I'm sorry to trouble you with this, but apparently your son has a picture of Eric with another boy's penis in his mouth.
"
Sheila,"Excuse me?
"
Liane,"Don't worry, sweetie, everything is fine.
"
Cartman,"It is?  Really? Oh Mommy thank you! Thank you! 
"
Liane,"You have nothing to worry about in school tomorrow. Mrs. Broflovski assured me that Kyle doesn't have the picture.
"
Cartman,"What?
"
Liane,"She talked with her son and says he doesn't have it.
"
Cartman,"Mom, she's lying!
"
Liane,"She said she was sure, Eric.
"
Cartman,"Mom, you don't know anything about Jews! They lie all the time!
"
Liane,"Well, Eric, there's nothing more I can do about it.
"
Cartman,"Then that's it. Kyle wins. But he won't win completely! I'm going to print out another copy of that picture and show it to the class myself! I can at least rob Kyle of his final lie
"
Director,"Do you mind telling me how you managed to lose... your accountabilibuddy?!
"
Butters,"I went looking for 'im, but he runs real fast.
"
Director,"You don't seem to take this camp seriously, Butters. I've called your father in for a talk.
"
Butters,"Oh no, my Dad?
"
Director,"Do you understand the concept of Hell? Do you realize that if we don't fix you you will burn in a lake of fire for eternity?
"
Butters,"Well yeah, but I just don't quite understand what you're fixin'.
"
Director,"We're fixing your confusion!
"
Stephen,"There you are, Butters!
"
Director,"Oheh- hey Dad.
"
Stephen,"What's he done now?!
"
Director,"Mr. Stotch, your son is insubordinate, unwilling to change, and worse yet, he's lost his accountabilibuddy!
"
A counselor,"They found him! They found Bradley! You'd better come quick! 
"
Director,"Oh Lord in Heaven! Don't jump, Bradley!
"
Bradley,"Stay-stay back! I'm an abomination of God!
"
Director,"Nono, we're fixing you!
"
Cartman,"Guess you think today is your big day, huh Kyle? To embarrass me in front of everyone?  Well guess what? I'm not giving you the satisfaction!
"
Mrs. Garrison,"Okay students, let's all take our seats. Since it is Monday, we'll start as always with Show And Tell.  Who'd like to go first? 
"
Kyle,"Ow! Quit it, dude!
"
Mrs. Garrison,"Okay Eric, Jesus, calm down. You can go first.
"
Cartman,"HA!  For Show And Tell today, I would like to share with you some very special, very artsy photographs I've taken in pursuit of being a respected photographer.  This first picture I like to call ""Moods of Winter"" , a simple aspen grove shot in high-contrast black and white shows the brittleness of the trunks and reminds one... of death. This picture I took just as the sun was rising and this lonely man was walking to work. A statement about... all of our loneliness, perhaps?
"
Kyle,"He isn't actually going to show everyone...
"
Cartman,"And now this next picture 
"
Director,"Don't jump, Bradley! You will only make god angrier with you!
"
Bradley,"It's too late.
"
Butters,"Bradley, please. You're my accountabilibuddy. How will this make me look?
"
Director,"You get back. You're only gonna make things worse.
"
Bradley,"I'm not normal. I'll never be normal!
"
Butters,"You're perfectly normal, Bradley.
"
Director,"Get back! You're just as confused as he is!
"
Butters,"All right. All right that does it!  I am sick and tired of everyone telling me I'm confused! I wasn't confused until other people started tellin' me I was!  You know what I think? I think maybe you are the ones who are confused!
"
Bradley,"Yeah.
"
Butters,"I'm not gonna be confused anymore just because you say I should be! My name is Butters, I'm eight years old, I'm blood type O, and I'm bi-curious! And even that's okay! Because if I'm bi-curious, and I'm somehow made from God, then I think your God must be a little bi-curious himself! 
"
Bradley,"I think. I think I'd like to come down now.
"
Director,"He's coming down!  We did it!  Through the power of Christ we have saved this child!
"
Stephen,"Well Butters, I guess we might as well go home. Looks like you're never gonna change.
"
Butters,"No. I like bein' bi-curious.
"
Stephen,"Well you know somethin'? So do I. 
"
Butters,"Wait. Now I am confused.
"
Cartman,"And this photograph I took of a sunset near the power plant. Note how the contrasting images make a statement about our impact on the Earth. Which brings us to my last picture. Ahem. This picture you may find somewhat... controversial. 
"
Bebe,"Eww!
"
Clyde,"Dude.
"
Cartman,"Yes. This is shot at a 5.6 aperture using a low-light filter. You can see the grain from the high-speed film - there's sort of a- penis in my mouth right here - and the low depth of field keeps the background soft.
"
Mrs. Garrison,"Eric, what the hell is this?!
"
Cartman,"What this is, is a statement against the war in Iraq. It's wrong that we still have our troops there. It's wrong! And what I think that-
"
Mr. Mackey,"Uh, Eric Cartman? We got an emergency message from your mother?  ""Do not show picture. Kyle didn't have it after all. Found it under your desk."" She said you'd know what that means, m'kay? 
"
Cartman,"...Lame.
"
Mrs. Garrison,"All right, students, let's take our seats. Apparently we have a little problem here at the school which we need to talk about.
"
Cartman,"Ah yes. You mean the Jew problem.  Good, good! I'm glad we're finally gonna do something about it.
"
Mrs. Garrison,"No, I mean the problem of head lice.  There's been a lice breakout at a school in Denver, and we need to make sure nobody spreads it here.
"
Bebe,"Somebody might have lice?
"
Class,"Ewww!
"
Mrs. Garrison,"So today you're all going to the gymnasium to have your scalps examined.
"
Cartman,"Uh th-that is completely unnecessary. Everyone knows that only poor people can get lice. The only person that can spread it here is Kenny.
"
Kenny,"(What? Fuck you!)
"
Mrs. Garrison,"I'm sure this class is clean, but we're gonna be examined so that if anyone has the lice, we can stop it before it spreads.  Lice can live in anybody's hair. 
"
Male Louse,"Hello, Kelly. How's my babih?
"
Kelly,"You mean me or the little one?
"
Male Louse,"I mean both.
"
Kelly,"Well, besides a little loneliness waiting for Daddy to come home, I guess we're both okay.
"
Male Louse,"How did a louse like me get so lucky to have a louse like you?
"
Kelly,"Luck had nothing to do with it, Travis.  You okay?
"
Travis,"Sometimes... I just worry what kind of world our babih is gonna grow up in.  I need to run up to the forest and do another sediment analysis. I'm worried we might be overworking the tertiary layer. 
"
Lead Screener,"All students, make sure you're in line according to your grade. When you reach the front of the line you will go behind the curtain and remove any hats to be checked. 
"
Butters,"Boy, I sure hope they don't find lice in my hair.
"
Stan,"What do you think happens if you do have it?
"
Cartman,"They drag you out of here, put you in this big containment facility, where they stick a cold metal pipe up your ass with this clear jelly, and then they shock your balls. 
"
Craig,"I'm clean! I knew I didn't have any stupid lice! 
"
Cartman,"This is ridiculous. All this just so they can send Kenny and his stupid head lice home.
"
Kenny,"(Hey! Fuck off!) 
"
Lead Screener,"Have a seat on the stool. 
"
Lead Screener,"Uh oh, looks like you've got 'em.
"
Clyde,"What?
"
Lead Screener,"You have lice. Let's see... Clyde Harris, is it?
"
Clyde,"Oh my God. Oh Christ no!
"
Lead Screener,"Now now, it's all right. We're going to call your parents and get you to your doctor.
"
Clyde,"Please, ya-you don't understand. The other kids are gonna make fun of me forever!
"
Lead Screener,"I'm sure your friends aren't that cruel.
"
Clyde,"Yes they are!
"
Travis,"Mr. President! Mr. President! I believe we have a serious problem!  The environment... is changing. I believe it is somehow, reacting to our presence on it.
"
President,"And what do you base this on?
"
Travis,"Look, this is the world, right? But now, think of the world as... a living being.  If it were somehow conscious, then it would ultimately become aware of our effect on it.
"
Older Louse,"Huh right, the world is conscious. It makes perfect sense.  Hello. Anybody? 
"
Travis,"If we have made too much of an impact, then that consciousness would try to snuff us out! I think we're looking at a global catastrophe, the likes of which we've never seen!
"
Older Louse,"Poodiggery and poppycock!
"
Travis,"I think we need to put all resources now into a full investigation, perhaps even begin a licewide evacuation.
"
Older Louse,"Evacuation?! Tomorrow is the Gootack Festival. Do you know how much money we would lose? Escort Mr. Mayfield out. The President can't be bothered any further.
"
Travis,"Damn you Vice President Craig! You could be killin' us all!
"
Clyde,"This is so... embarrassing.
"
Girl,"I have an ear infection. What are you seeing the doctor for?
"
Clyde,"I have... I have AIDS. 
"
Nurse,"Clyde Harris? 
"
Doctor,"Yeeaahh, that's a pretty bad lice problem there. Good thing they pulled you out of school.
"
Clyde,"But why me, doctor? Why me?! How did I get this?!
"
Doctor,"Well, believe it or not, some lice can actually attach themselves to flies, and then wait for the fly to land on someone's head where they can reproduce. And then the lice that live in your head now were probably all born there.
"
Clyde,"...Sick!
"
Doctor,"This shampoo should take care of it.  Use this in the shower. Your scalp may burn a bit afterwards, but... it should kill... every last one of them.
"
Kelly,"Travis? Everything okay?
"
Travis,"Kelly, I was just thinkin' about our babih. I want to name her... Hope.
"
Kelly,"Hope?
"
Travis,"Hope for a... chance at tomorrow? 
"
Louse 1,"It's raining? Now? 
"
Louse 2,"Woohoo! I love the rain! 
"
Travis,"Oh my God.  We have to get out of here!
"
Kelly,"What it, it's just rain.
"
Travis,"We have to get out of here now, Kellih! 
"
Louse 3,"What is that? 
"
Lice,"Whoa!  Ruuun! 
"
Travis,"Everyone get up into the trees! We have to get up high! Come on, Kelly! 
"
Kelly,"My God, Travis, they're all dying!
"
Travis,"Don't look, Kelly! Don't look!
"
Louse 4,"What the hell is it?!
"
Louse 5,"Well it's okay, we're safe up here! 
"
Travis,"I don't think so! 
"
Louse 4,"OoOhOOOoooh!
"
Kelly,"Travis!
"
Travis,"Kellih! Hang on!
"
Kelly,"I can't... hang on!
"
Travis,"You have to! For the babih! 
"
Kelly,"Nooooooooooo!
"
Travis,"Kehhhllihhhh! No! Noooo! 
"
Mrs. Garrison,"Okay, kids, today we're going to review some Civil War history. Who can tell me what year the war started?
"
Cartman,"Waiwaiwait, whoa whoa, so what happened?
"
Mrs. Garrison,"With what?
"
Craig,"With the lice exam. Did they find anybody with lice? 
"
Mrs. Garrison,"Y-yes, some lice was discovered and the proper action has been taken.
"
Stan,"Somebody in this class?
"
Mrs. Garrison,"Uh, yes.
"
Class,"Ohhhhh.
"
Cartman,"Well who was it?  It was Kenny, right?
"
Mrs. Garrison,"That doesn't matter, it's over.
"
Cartman,"Doesn't matter?! If somebody had parasites in their hair, we need to know who!  It was Kenny, wasn't it?
"
Red,"I wanna know who it was, too.
"
Mrs. Garrison,"It's being kept confidential! There's a policy in the schools not to single out a kid who has lice, because of the embarrassment it can cause, okay?!
"
Cartman,"That is bullcrap! You are denying our rights as children to totally rip on that kid and make him or her feel like an outcast!
"
Class,"Yeah!
"
Bebe,"And we have a right to know which boy had lice in his hair so we don't ever go out with them!
"
Craig,"How do we know it was a boy? It could just have easily been one of you stupid girls!
"
Butters,"Yeah! Dumb girls!
"
Mrs. Garrison,"The case is closed! Whoever had the lice, they're dead now! We're moving on to Civil War history.  Ulysses S. Grant-
"
Travis,"Hope. Hope, you're alive.  My God...  Heh?!
"
Louse 6,"Help me... Help meeee... 
"
Louse 7,"Travis.  Over here! Travis, if you hadn't warned us to get up in them trees, we'd all be dead.
"
Travis,"How many survivors?
"
Louse 7,"Just the six of us. And the Vice President.
"
Travis,"You son of a bitch! You had a chance to stop this! So help me, if we live through this, I'm gonna see you rot in prison!
"
Louse 8,"What do we do now?
"
Travis,"We aren't out of this yet! You two look for other survivors. You get whatever food you can and bring it back here. 
"
Vice President,"Who put you in charge?!
"
Travis,"God did! When he killed my wife! 
"
Cartman,"All right, the person who had head lice needs to speak up right now, so that we know to stay away from you! 
"
Craig,"Yeah, come on! We're gonna find out sooner or later.
"
Cartman,"Okay, whoever you are, you are now not only a licehead, you're a liar! You're only making this worse on yourself!
"
Kyle,"You know what? I'll bet it was you!
"
Cartman,"Me?!
"
Kyle,"This is exactly what you would do if they found lice in your hair! Try to lead the charge against somebody else to take the suspicion off of yourself!
"
Cartman,"I don't think so, Kyle! But you know what?! This is exactly what you would do if you had had head lice! Try to get everyone to blame me!
"
Stan,"You guys stop it! This isn't getting us anywhere!
"
Cartman,"That's exactly what you would do if you had had head lice, Stan. 
"
Kyle,"Yeah, try to have everyone make peace so it doesn't seem like a big deal.
"
Cartman,"And this is exactly what Kenny would do: stand here and say nothing! 
"
Butters,"Heh hey guys, what would I do?
"
Bebe,"Let's just get a magnifying glass and look at everyone's heads.
"
Kyle,"It's too late. The treatment would have killed it all.
"
Clyde,"Well I guess we're never gonna know. There's no way to tell.
"
Cartman,"There's a way! There's a way to find out who had sick-ass head cooties! And I'm gonna find it! 
"
Kyle,"It was him. It had to have been him!
"
Stan,"Yeah... Or you. 
"
Louse 9,"Mark? Mark, you have to hang on.
"
Travis,"This isn't going to stop. The world is rejecting us! If we're gonna live, we have to get off this planet.
"
Louse 8,"How?
"
Travis,"First we have to get out of the forest, into the forbidden zone. It's the only way we might even see another planet!
"
Louse 9,"The forbidden zone... We'll be exposed. We'll die out there.
"
Travis,"We'll die here! Look, the world is getting rid of us! Don't you get it?!
"
Louse 10,"Getting rid of us? You-you mean like it knows what it's doing?
"
Travis,"Yes! Because maybe we rolled the dice too many times!
"
Louse 9,"I'm not leaving my husband.
"
Louse 11,"Yeah huh-I'll take my chances here.
"
Travis,"You can all stay here; I'm gonna try to save my babih. 
"
Louse 12,"I'll go with you. There's nothing left for me here.
"
Vice President,"I wanna go too.
"
Travis,"Not a chance.
"
Vice President,"Look, I know I messed up, all right? But I think you're right. If we can get out of the forest, we might find another place to live.
"
Travis,"If we find anything, we'll try to send help for the rest of you.  Let's go.  Come on if you're comin' Mister Vice President! 
"
Vice President,"Yeah. Right behind you. 
"
Cartman,"All right, lock that door, Craig! 
"
Kyle,"What's this about, Cartman? 
"
Cartman,"I've come up with a test that can determine if it was any of us who had the head lice.  We're gonna find out once and for all who had head cooties.  Lice feed on a person's blood, and just like mosquitoes they leave small traces of their saliva in the host's bloodstream. That saliva, is monochromagnic. So if an infected person's blood is touched by... this hot metal coil, say... that person's blood will jump 10 meters into the air.
"
Jimmy,"Ur ur re- ur really?
"
Kyle,"That's retarded! You didn't come up with that experiment, Cartman, you saw it in that movie, The Thing!
"
Cartman,"This is a scientific test, designed to-
"
Kyle,"You saw it in The Thing and you're wasting everyone's time!
"
Cartman,"I thought you might say that, Kyle. Because you don't want to take the test, do you?!
"
Kyle,"Nobody's blood is going to jump up in the air!
"
Cartman,"If it isn't going to work, then what are you afraid of? The only person who wouldn't want to take the test is somebody who was worried it might work and reveal that they were the ones with lice!
"
Craig,"Yeah. That's true.
"
Jimmy,"I have no problem taking the test. I have nothing to hi-huhiii-hide
"
Token,"Yeah. Me neither.
"
Kyle,"All right, fine. I'll do the dumb test.
"
Cartman,"Everyone take a Petri dish and a syringe. We need at least 30 cc's of blood from each one of you.
"
Cartman,"All right, now everyone back over there!  We'll start with what I already know. 
"
Butters,"Well, guess that proves Eric wasn't the one with head lice.
"
Kyle,"It doesn't prove anything!
"
Cartman,"Yeah? Let's just see what your blood does, Kyle!  Huh, I guess you're clean. 
"
Clyde,"Ye-you guys, we'd better go. Recess is almost over.
"
Cartman,"It's all right, it won't take much longer, just-AHH AHHGH! 
"
Token,"What the hell?! 
"
Cartman,"Kenny!
"
Kyle,"No way.
"
Craig,"You were right all along, Eric. It was Kenny.
"
Cartman,"Of course I was right! I told you only poor people get lice! 
"
Louse 12,"We've done it. We've reached the forbidden zone.  I've always heard stories about this place. Never thought it was real.
"
Travis,"It's real. Real as my love for my unborn babih.
"
Vice President,"So what exactly is your plan, Travis?
"
Travis,"Our ancestors came here from another world. Maybe there's still other worlds out there with life forms like us. Maybe there's even a world where they've learned to live with the planet instead of just on it.
"
Louse 12,"Travis. Travis, you're, so wise, so strong. If we make it out of this, I'd like to... be with you.
"
Travis,"Sorry, babe, but my heart is forever stenciled in permanent ink with the name  Kelly.
"
Louse 12,"She was a lucky woman to have you.
"
Travis,"Luck had nothin' to do with it. 
"
Vice President,"Sorry to cut the honeymoon short!
"
Travis,"Why you murdering bastard!
"
Vice President,"Your little fantasy of another world ends here! Walk!
"
Travis,"What the hell do you want, Vice President?!
"
Vice President,"Walk! 
"
Craig,"Clyde, dude, get down to the park. We caught Kenny, and we're all gonna let him have it! 
"
Clyde,"What? What are you gonna do to him?
"
Cartman,"He lied to us all! He betrayed his kind! We all know what has to happen.  Grab a sock and a bar of soap, and meet us at the park! 
"
Clyde,"You guys, wait. 
"
Cartman,"What, Clyde?
"
Clyde,"I... nothing.
"
Cartman,"All right, see you there!  Remember, bar of soap and a sock! Kenny's gonna get it!
"
"Token, Craig","Yeah!
"
Jimmy,"Yeah! We're gonna fu-fu-fuck him up! 
"
Mrs. Garrison,"Yello?
"
Clyde,"Mrs. Garrison, one of your students is about to be attacked at the park by all the other students.
"
Mrs. Garrison,"What? Who's going to get attacked? Who is this?!
"
Clyde,"Please just hurry to the park! You have to stop them!
"
Vice President,"That's good! That's far enough! 
"
Travis,"What are you going to do?
"
Vice President,"I'm gonna go back to the village, start to rebuild, mate with the females, become... President!
"
Travis,"Don't you get it? The world doesn't want you here! It's not gonna stop until you're dead!
"
Vice President,"It was a disaster! Disasters happen!
"
Travis,"Then go ahead and die there, I'm leavin' with my babih!
"
Vice President,"Actually, you're never leaving here either, Travis! 
"
